date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-02-02,2019,2,2,port1387,Weipa,Australia,AUS,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,80317,0,0,0,80317,80317,2492401
2019-02-03,2019,2,3,port1387,Weipa,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2492404
2019-02-04,2019,2,4,port1387,Weipa,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,168698,0,0,0,168698,168698,2492405
2019-02-05,2019,2,5,port1387,Weipa,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,83966,0,0,0,83966,83966,2492406
2019-02-06,2019,2,6,port1387,Weipa,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,73329,0,0,0,73329,73329,2492407
2019-02-07,2019,2,7,port1387,Weipa,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,150300,0,0,0,150300,150300,2492408
2019-02-08,2019,2,8,port1387,Weipa,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,74514,0,0,0,74514,74514,2492409
2019-02-09,2019,2,9,port1387,Weipa,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2492410
2019-02-10,2019,2,10,port1387,Weipa,Australia,AUS,0,3,0,0,1,3,4,0,0,0,0,0,0,0,0,209933,0,0,0,209933,209933,2492411
2019-02-11,2019,2,11,port1387,Weipa,Australia,AUS,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2492412
2019-02-12,2019,2,12,port1387,Weipa,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,74647,0,0,0,74647,74647,2492413
2019-02-13,2019,2,13,port1387,Weipa,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,75415,0,0,0,75415,75415,2492414
2019-02-14,2019,2,14,port1387,Weipa,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,137688,0,0,0,137688,137688,2492415
2019-02-15,2019,2,15,port1387,Weipa,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,83970,0,0,0,83970,83970,2492416
2019-02-16,2019,2,16,port1387,Weipa,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,142935,0,0,0,142935,142935,2492417
2019-02-17,2019,2,17,port1387,Weipa,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2492418
2019-02-18,2019,2,18,port1387,Weipa,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,170358,0,0,0,170358,170358,2492419
2019-02-19,2019,2,19,port1387,Weipa,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2492420
2019-02-20,2019,2,20,port1387,Weipa,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,133377,0,0,0,133377,133377,2492421
2019-02-21,2019,2,21,port1387,Weipa,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,158313,0,0,0,158313,158313,2492422
2019-02-22,2019,2,22,port1387,Weipa,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,68513,0,0,0,68513,68513,2492423
2019-02-23,2019,2,23,port1387,Weipa,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,85530,0,0,0,85530,85530,2492424
2019-02-24,2019,2,24,port1387,Weipa,Australia,AUS,0,1,1,0,0,2,2,0,0,255,0,0,255,255,0,74550,0,0,0,74550,74550,2492425
2019-02-25,2019,2,25,port1387,Weipa,Australia,AUS,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,222990,0,0,0,222990,222990,2492426
2019-02-26,2019,2,26,port1387,Weipa,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,65313,0,0,0,65313,65313,2492427
2019-02-27,2019,2,27,port1387,Weipa,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2492428
