date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-04-10,2019,4,10,port1410,Yantai,China,CHN,1,0,2,0,1,3,4,0,0,6787,0,15576,6787,22363,4592,0,1541,0,0,6133,6133,408143
2020-05-14,2020,5,14,port1410,Yantai,China,CHN,2,1,1,0,0,4,4,2093,0,2655,0,0,4749,4749,1415,35350,0,0,0,36766,36766,408176
2019-04-11,2019,4,11,port1410,Yantai,China,CHN,4,1,0,1,0,6,6,910,37407,0,432,0,38749,38749,5805,10731,0,1124,0,17662,17662,408406
2019-04-12,2019,4,12,port1410,Yantai,China,CHN,1,1,3,1,0,6,6,0,19065,16830,432,0,36327,36327,3878,0,2177,1124,0,7181,7181,408408
2020-05-15,2020,5,15,port1410,Yantai,China,CHN,1,0,2,1,1,4,5,0,0,7186,432,13930,7618,21549,1671,0,0,1124,0,2795,2795,408411
2020-05-16,2020,5,16,port1410,Yantai,China,CHN,5,1,3,0,0,9,9,0,12198,5014,0,0,17213,17213,9943,0,2408,0,0,12352,12352,408413
2019-04-13,2019,4,13,port1410,Yantai,China,CHN,5,0,1,1,0,7,7,708,0,0,432,0,1140,1140,9916,0,1519,1124,0,12559,12559,408415
2020-05-17,2020,5,17,port1410,Yantai,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408417
2019-04-14,2019,4,14,port1410,Yantai,China,CHN,0,0,0,1,0,1,1,0,0,0,432,0,432,432,0,0,0,1124,0,1124,1124,408419
2020-05-18,2020,5,18,port1410,Yantai,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408421
2019-04-15,2019,4,15,port1410,Yantai,China,CHN,1,2,1,1,0,5,5,303,195900,1609,0,0,197814,197814,1664,44702,0,0,0,46367,46367,408423
2020-05-19,2020,5,19,port1410,Yantai,China,CHN,2,5,1,2,0,10,10,0,261553,601,0,0,262155,262155,5055,14070,0,0,0,19126,19126,408425
