date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2021-11-18,2021,11,18,port1415,Yingkou,China,CHN,0,2,0,0,2,2,4,0,81465,0,0,18429,81465,99895,0,0,0,0,4960,0,4960,434002
2021-11-19,2021,11,19,port1415,Yingkou,China,CHN,0,0,0,0,3,0,3,0,0,0,0,73612,0,73612,0,0,0,0,26886,0,26886,434004
2021-11-20,2021,11,20,port1415,Yingkou,China,CHN,0,0,1,0,5,1,6,0,0,0,0,59356,0,59356,0,0,3711,0,36836,3711,40547,434006
2021-11-21,2021,11,21,port1415,Yingkou,China,CHN,0,2,1,0,2,3,5,0,43220,0,0,0,43220,43220,0,0,3495,0,4715,3495,8210,434008
2021-11-22,2021,11,22,port1415,Yingkou,China,CHN,0,0,0,0,3,0,3,0,0,0,0,29599,0,29599,0,0,0,0,638,0,638,434010
2021-11-23,2021,11,23,port1415,Yingkou,China,CHN,0,1,0,0,2,1,3,0,54408,0,0,96186,54408,150594,0,0,0,0,15097,0,15097,434012
2021-11-24,2021,11,24,port1415,Yingkou,China,CHN,0,2,0,0,1,2,3,0,76297,0,0,0,76297,76297,0,0,0,0,5469,0,5469,434014
2021-11-25,2021,11,25,port1415,Yingkou,China,CHN,0,0,1,0,2,1,3,0,0,704,0,9967,704,10671,0,0,3079,0,5665,3079,8744,434016
2021-11-26,2021,11,26,port1415,Yingkou,China,CHN,0,0,0,0,2,0,2,0,0,0,0,34267,0,34267,0,0,0,0,0,0,0,434018
2021-11-27,2021,11,27,port1415,Yingkou,China,CHN,0,2,0,0,5,2,7,0,23221,0,0,26751,23221,49972,0,1029,0,0,20062,1029,21092,434020
2021-11-28,2021,11,28,port1415,Yingkou,China,CHN,0,0,0,0,3,0,3,0,0,0,0,80135,0,80135,0,0,0,0,32573,0,32573,434022
2021-11-29,2021,11,29,port1415,Yingkou,China,CHN,0,1,1,0,2,2,4,0,25347,0,0,0,25347,25347,0,0,749,0,39469,749,40219,434024
2021-11-30,2021,11,30,port1415,Yingkou,China,CHN,0,1,0,0,2,1,3,0,16389,0,0,18429,16389,34819,0,0,0,0,8994,0,8994,434026
2021-12-01,2021,12,1,port1415,Yingkou,China,CHN,0,2,1,0,5,3,8,0,26928,0,0,28100,26928,55028,0,28726,4653,0,47941,33380,81321,434028
2021-12-02,2021,12,2,port1415,Yingkou,China,CHN,0,3,0,0,3,3,6,0,137258,0,0,0,137258,137258,0,0,0,0,19128,0,19128,434030
2020-10-14,2020,10,14,port1415,Yingkou,China,CHN,0,1,1,0,4,2,6,0,68509,0,0,110502,68509,179012,0,0,5747,0,15895,5747,21642,434032
2021-12-03,2021,12,3,port1415,Yingkou,China,CHN,0,1,0,0,4,1,5,0,31323,0,0,101328,31323,132652,0,0,0,0,14143,0,14143,434033
2021-12-04,2021,12,4,port1415,Yingkou,China,CHN,0,3,0,0,2,3,5,0,136406,0,0,0,136406,136406,0,0,0,0,7430,0,7430,434035
2019-09-10,2019,9,10,port1415,Yingkou,China,CHN,0,0,0,0,4,0,4,0,0,0,0,85209,0,85209,0,0,0,0,0,0,0,434036
2020-10-15,2020,10,15,port1415,Yingkou,China,CHN,0,1,0,0,2,1,3,0,0,0,0,24294,0,24294,0,4985,0,0,8599,4985,13584,434037
2022-12-23,2022,12,23,port1415,Yingkou,China,CHN,0,2,0,0,4,2,6,0,11365,0,0,49794,11365,61159,0,14909,0,0,23983,14909,38892,434038
2021-12-05,2021,12,5,port1415,Yingkou,China,CHN,0,1,1,0,4,2,6,0,0,6640,0,70425,6640,77066,0,12054,0,0,10699,12054,22754,434040
2019-09-11,2019,9,11,port1415,Yingkou,China,CHN,0,0,0,0,2,0,2,0,0,0,0,38022,0,38022,0,0,0,0,5379,0,5379,434041
