date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port1426,Zhanjiang,China,CHN,1,2,2,0,3,5,8,1905,247155,0,0,44129,249060,293190,1467,0,1446,0,14016,2913,16930,456013
2019-01-02,2019,1,2,port1426,Zhanjiang,China,CHN,0,3,0,0,3,3,6,0,44755,0,0,270333,44755,315088,0,24282,0,0,4081,24282,28364,456014
2019-01-03,2019,1,3,port1426,Zhanjiang,China,CHN,2,7,0,0,6,9,15,1905,228342,0,0,308725,230248,538973,1896,44839,0,0,8914,46736,55650,456015
2019-01-04,2019,1,4,port1426,Zhanjiang,China,CHN,2,5,0,0,0,7,7,12440,225246,0,0,0,237687,237687,1467,47649,0,0,0,49117,49117,456016
2019-01-05,2019,1,5,port1426,Zhanjiang,China,CHN,2,4,1,0,2,7,9,5289,400266,0,0,267541,405556,673098,5973,7648,1061,0,0,14683,14683,456017
2019-01-06,2019,1,6,port1426,Zhanjiang,China,CHN,2,3,0,0,3,5,8,1905,381677,0,0,79103,383582,462686,1894,0,0,0,3485,1894,5379,456018
2019-01-07,2019,1,7,port1426,Zhanjiang,China,CHN,0,5,1,0,6,6,12,0,706159,1263,0,75678,707422,783101,0,48735,1824,0,9622,50560,60182,456019
2020-01-24,2020,1,24,port1426,Zhanjiang,China,CHN,0,1,0,0,0,1,1,0,48965,0,0,0,48965,48965,0,7648,0,0,0,7648,7648,456020
2022-04-03,2022,4,3,port1426,Zhanjiang,China,CHN,2,6,2,0,1,10,11,1905,637188,125,0,1179,639219,640398,1858,7648,2232,0,3766,11738,15505,456021
2019-01-08,2019,1,8,port1426,Zhanjiang,China,CHN,1,4,1,0,1,6,7,5859,158837,1263,0,37986,165960,203946,0,0,1824,0,0,1824,1824,456023
2019-01-09,2019,1,9,port1426,Zhanjiang,China,CHN,0,4,0,0,1,4,5,0,89073,0,0,133460,89073,222533,0,6305,0,0,0,6305,6305,456024
2019-01-10,2019,1,10,port1426,Zhanjiang,China,CHN,2,5,1,0,1,8,9,1905,216940,8729,0,0,227575,227575,7944,6292,0,0,1420,14237,15657,456025
2019-01-11,2019,1,11,port1426,Zhanjiang,China,CHN,2,1,2,0,0,5,5,8237,48965,0,0,0,57203,57203,0,7648,11878,0,0,19526,19526,456026
2019-01-12,2019,1,12,port1426,Zhanjiang,China,CHN,0,7,4,0,3,11,14,0,660825,2184,0,299561,663009,962571,0,0,6541,0,4270,6541,10812,456027
