date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019-02-15,2019,2,15,chokepoint4,Bab el-Mandeb Strait,14,16,4,3,18,37,55,652996,857997,38840,14630,1061438,1564465,2625903,8001
2019-02-16,2019,2,16,chokepoint4,Bab el-Mandeb Strait,25,14,8,2,22,49,71,1537283,786626,37753,8061,856396,2369725,3226121,8002
2019-02-17,2019,2,17,chokepoint4,Bab el-Mandeb Strait,18,8,5,5,22,36,58,1143634,351749,25739,15335,1108793,1536459,2645253,8003
2019-02-18,2019,2,18,chokepoint4,Bab el-Mandeb Strait,14,12,8,5,15,39,54,937004,645354,70901,14457,1180080,1667717,2847798,8004
2019-02-19,2019,2,19,chokepoint4,Bab el-Mandeb Strait,19,10,2,5,19,36,55,1266259,409638,2236,26570,692534,1704705,2397239,8005
2019-02-20,2019,2,20,chokepoint4,Bab el-Mandeb Strait,16,13,4,6,13,39,52,1004736,411724,27105,17216,599821,1460782,2060603,8006
2019-02-21,2019,2,21,chokepoint4,Bab el-Mandeb Strait,18,6,5,2,11,31,42,1093966,311919,17455,4576,581880,1427919,2009799,8007
2019-02-22,2019,2,22,chokepoint4,Bab el-Mandeb Strait,11,9,6,6,17,32,49,514962,195889,43413,27434,983672,781701,1765373,8008
2019-02-23,2019,2,23,chokepoint4,Bab el-Mandeb Strait,24,11,1,5,11,41,52,1489469,551534,6711,8679,554574,2056393,2610968,8009
2019-02-24,2019,2,24,chokepoint4,Bab el-Mandeb Strait,18,8,4,1,27,31,58,1386213,457302,12741,10184,1564901,1866442,3431344,8010
2019-02-25,2019,2,25,chokepoint4,Bab el-Mandeb Strait,20,14,3,4,12,41,53,1152055,871186,10013,4643,398089,2037898,2435988,8011
2019-02-26,2019,2,26,chokepoint4,Bab el-Mandeb Strait,14,10,3,3,18,30,48,799611,390097,9589,6095,1059027,1205393,2264421,8012
2019-02-27,2019,2,27,chokepoint4,Bab el-Mandeb Strait,18,7,6,2,13,33,46,1053881,274736,26014,5165,570555,1359797,1930352,8013
2019-02-28,2019,2,28,chokepoint4,Bab el-Mandeb Strait,14,9,4,1,20,28,48,924057,431077,15251,0,959783,1370387,2330170,8014
2019-03-01,2019,3,1,chokepoint4,Bab el-Mandeb Strait,14,10,7,0,16,31,47,636350,523095,30928,0,548841,1190374,1739215,8015
2019-03-02,2019,3,2,chokepoint4,Bab el-Mandeb Strait,22,10,2,2,16,36,52,1361999,604988,8162,8100,975347,1983250,2958598,8016
2019-03-03,2019,3,3,chokepoint4,Bab el-Mandeb Strait,21,3,5,5,20,34,54,1094353,187741,33519,30650,1448272,1346264,2794537,8017
