portid,portname,country,ISO3,fullname,lat,lon
port102,Balikpapan,Indonesia,IDN,"Balikpapan, Indonesia",-1.202534486,116.79598
port137,Beira,Mozambique,MOZ,"Beira, Mozambique",-19.8110704,34.83983895
port290,Dhamra Port,India,IND,"Dhamra Port, India",20.82773698,86.9595015
port2299,Gopalpur,India,IND,"Gopalpur, India",19.29112737743345,84.95741871367457
port442,Haldia,India,IND,"Haldia, India",22.0577906,88.10419444
port458,Hay Point,Australia,AUS,"Hay Point, Australia",-21.28124079,149.287454
port207,Kolkata (Syama Prasad Mookerje Port),India,IND,"Kolkata (Syama Prasad Mookerje Port), India",22.53574401,88.29958111
port702,Maputo,Mozambique,MOZ,"Maputo, Mozambique",-25.95563087,32.52103798
port784,Nacala,Mozambique,MOZ,"Nacala, Mozambique",-14.53535059,40.65118404
port816,Newcastle,Australia,AUS,"Newcastle, Australia",-32.89445588,151.7577471
port883,Paradip,India,IND,"Paradip, India",20.28045307,86.64892168
port1099,Richards Bay,South Africa,ZAF,"Richards Bay, South Africa",-28.79239882,32.03937272
port1137,Samarinda,Indonesia,IDN,"Samarinda, Indonesia",-0.551281498,117.1922256
port1367,Visakhapatnam,India,IND,"Visakhapatnam, India",17.65545047,83.23140922
