label,portid,portname,country,iso3,lat,lon,role,basin,resolved
Abbot_Point_AU,port0,Abbot Point,Australia,AUS,-19.89375525,148.0776204,coal,pacific,yes
Port_Kembla_AU,port959,Port Kembla,Australia,AUS,-34.46209936,150.8844854,coal,pacific,yes
Port_Hedland_AU,port955,Port Hedland,Australia,AUS,-20.33066003,118.5643416,iron_ore,pacific,yes
Dampier_AU,port276,Dampier,Australia,AUS,-20.6266866,116.7424761,iron_ore,pacific,yes
Geraldton_AU,port391,Geraldton,Australia,AUS,-28.77609449,114.5941933,iron_ore,pacific,yes
Esperance_AU,port331,Esperance,Australia,AUS,-33.87217366,121.9007373,grain,pacific,yes
Kwinana_AU,port361,Fremantle,Australia,AUS,-32.15203252,115.7705242,grain,pacific,yes
Gove_AU,port411,Gove,Australia,AUS,-12.19695558,136.7166954,bauxite,pacific,yes
Weipa_AU,port1387,Weipa,Australia,AUS,-12.6538801,141.8764767,bauxite,pacific,yes
Tarahan_ID,port881,Panjang,Indonesia,IDN,-5.493013574,105.3301717,coal,pacific,yes
Vostochny_RU,port1374,Vostochnyy,Russian Federation,RUS,42.73190378,133.0528358,coal,pacific,yes
Murmansk_RU,port779,Murmansk,Russian Federation,RUS,68.98887419,33.0490027,coal,atlantic,yes
Ust_Luga_RU,port1095,Ust-Luga,Russian Federation,RUS,59.68266556,28.40566475,coal,atlantic,yes
Vanino_RU,port187,Vanino,Russian Federation,RUS,49.09019681,140.3006312,coal,pacific,yes
Novorossiysk_RU,port833,Novorossiysk,Russian Federation,RUS,44.72345598,37.8087215,grain,atlantic,yes
Saldanha_Bay_ZA,port1133,Saldanha Bay,South Africa,ZAF,-32.99778093,18.00771256,iron_ore,indian_ocean,yes
Tubarao_BR,port1328,Tubarao,Brazil,BRA,-20.25882714,-40.2378754,iron_ore,atlantic,yes
Ponta_da_Madeira_BR,port506,Itaqui,Brazil,BRA,-2.627113568,-44.35349287,iron_ore,atlantic,yes
Itaguai_BR,port2045,Porto de Itaguai,Brazil,BRA,-22.9363023408376,-43.8183637077484,iron_ore,atlantic,yes
Santos_BR,port1160,Santos,Brazil,BRA,-23.91706787,-46.33656353,grain,atlantic,yes
Rio_Grande_BR,port1104,Rio Grande,Brazil,BRA,-32.08860546,-52.10246586,grain,atlantic,yes
Rosario_AR,port1108,Rosario,Argentina,ARG,-33.04856538,-60.57348089,grain,atlantic,yes
Bahia_Blanca_AR,port1048,Bahia Blanca,Argentina,ARG,-38.78214152,-62.28346451,grain,atlantic,yes
Puerto_Bolivar_CO,port1027,Puerto Bolivar,Colombia,COL,12.25028035,-71.96257031,coal,atlantic,yes
Santa_Marta_CO,port1154,Santa Marta,Colombia,COL,11.25145763,-74.21500894,coal,atlantic,yes
Baltimore_US,port103,Baltimore,United States,USA,39.25976037,-76.5569733,coal,atlantic,yes
