"portname","portid","country","ISO3","resolved","note"
"Paradip","port883","India","IND","yes",""
"Visakhapatnam","port1367","India","IND","yes","Includes inner + outer harbour footprint as defined by PortWatch"
"Gangavaram","","India","IND","NO","Not present in PortWatch ports database (searched GANGA% and Andhra bbox)"
"Gopalpur","port2299","India","IND","yes",""
"Dhamra","port290","India","IND","yes",""
"Haldia","port442","India","IND","yes",""
"Kolkata","port207","India","IND","yes","Kolkata (Syama Prasad Mookerjee Port); Sandheads pilot station not a separate entry"
"Newcastle_AU","port816","Australia","AUS","yes",""
"Hay_Point_AU","port458","Australia","AUS","yes","Covers Hay Point; Dalrymple Bay is adjacent terminal, no separate PortWatch entry found"
"Richards_Bay_ZA","port1099","South Africa","ZAF","yes",""
"Beira_MZ","port137","Mozambique","MOZ","yes",""
"Maputo_MZ","port702","Mozambique","MOZ","yes",""
"Nacala_MZ","port784","Mozambique","MOZ","yes",""
"Balikpapan_ID","port102","Indonesia","IDN","yes",""
"Samarinda_ID","port1137","Indonesia","IDN","yes","Mahakam River anchorage area"
