"portname","portid","rows","pages","min_date","max_date","status"
"Paradip","port883","2783","3","2019-01-01","2026-08-14","OK"
"Visakhapatnam","port1367","2783","3","2019-01-01","2026-08-14","OK"
"Gopalpur","port2299","2783","3","2019-01-01","2026-08-14","OK"
"Dhamra","port290","2783","3","2019-01-01","2026-08-14","OK"
"Haldia","port442","2783","3","2019-01-01","2026-08-14","OK"
"Kolkata","port207","2783","3","2019-01-01","2026-08-14","OK"
"Newcastle_AU","port816","2783","3","2019-01-01","2026-08-14","OK"
"Hay_Point_AU","port458","2783","3","2019-01-01","2026-08-14","OK"
"Richards_Bay_ZA","port1099","2783","3","2019-01-01","2026-08-14","OK"
"Beira_MZ","port137","2783","3","2019-01-01","2026-08-14","OK"
"Maputo_MZ","port702","2783","3","2019-01-01","2026-08-14","OK"
"Nacala_MZ","port784","2783","3","2019-01-01","2026-08-14","OK"
"Balikpapan_ID","port102","2783","3","2019-01-01","2026-08-14","OK"
"Samarinda_ID","port1137","2783","3","2019-01-01","2026-08-14","OK"
