week_end_date,route_code,index_name,value,unit,notes
2026-02-05,C3,C3 (Tubarao-Qingdao),25,USD/ton,climbed to nearly $26/ton before easing to $25/ton; +44% YoY
2026-02-05,C17,C17 (Saldanha Bay-Qingdao),18,USD/ton,edged up to $18/ton; higher peak of $20/ton in early December
2026-02-05,P7,USG-Qingdao grain,,USD/ton,rates with $50/ton premium in early February; +24% YoY
2026-02-05,P8,Santos-Qingdao,40,USD/ton,nearing $40/ton
2026-02-05,S4A,S4A USG trip Skaw-Passero,22600,USD/day,strong recovery vs very weak levels as low as $13k/day in Feb 2025
2026-02-05,HS4_38,Handysize USG trip Skaw-Passero,17000,USD/day,slight excess of $17k/day; +70% YoY
2026-02-05,C5,C5 (West Australia-Qingdao),8.5,USD/ton,exceeded $9/ton at closing of January (+50% YoY); correcting to ~$8.5/ton (35% above annual average)
2026-02-05,P3A_82,Panamax HK-S Korea incl Taiwan one Pacific RV,14000,USD/day,exceeding $14k/day; rebound from ~$9k/day before Christmas 2025
2026-02-05,S2,Supramax North China Australia/Pacific round voyage,13000,USD/day,+100% increase compared to a year ago
2026-02-05,,BDI,2000,index,surpassing 2,000 index points at start of February 2026; +175% annual increase
2026-02-05,,Ballaster count Panamax Indian Ocean,250,vessels,surpassing 250; +18% weekly increase
2026-02-05,,Tonne-mile growth Capesize and Panamax (7D MA),113.5,%,"113-114% range"
2026-02-05,,Tonne-mile growth Supramax (7D MA),107,%,
