week_end_date,route_code,index_name,value,unit,notes
2026-02-13,C3,C3 (Tubarao-Qingdao),23,USD/ton,+34% YoY; mid-January low $14/ton
2026-02-13,C17,C17 (Saldanha Bay-Qingdao),17,USD/ton,mid-January low $14/ton
2026-02-13,C5,C5 (West Australia-Qingdao),8.5,USD/ton,"fell below $9/ton reaching mid-$8/ton level midway through the week"
2026-02-13,P7,USG-Qingdao grain,,USD/ton,hovers around a $50/ton premium sustained since early February; ~+17% YoY
2026-02-13,P8,Santos-Qingdao,40,USD/ton,nearing $40/ton; annual increase approx 17%
2026-02-13,HS4_38,Handysize USG trip Skaw-Passero,20000,USD/day,increase of $4k/d in a month and +$9k/d YoY
2026-02-13,P3A_82,Panamax HK-S Korea incl Taiwan one Pacific RV,14000,USD/day,still exceeding $14k/day; +$5.5k/day YoY
2026-02-13,S2,Supramax North China Australia/Pacific round voyage,11800,USD/day,-9% weekly decrease; +40% YoY increase
2026-02-13,HS5_38,Handysize SE Asia trip Singapore-Japan,9500,USD/day,down from prior-week high of over $10k; +34% YoY
2026-02-13,,BCI 5TC (182k),26000,USD/day,"declined approx USD 5,000 over week from ~USD 31,000 to below USD 26,000"
2026-02-13,,BDI,1900,index,dipped below 1,900 points; +130% YoY; early-Dec peak near 2,500
2026-02-13,,Ballaster count Panamax Indian Ocean,280,vessels,surpassing 280; +15% WoW
2026-02-13,,Ballaster count Capesize Australasia,,vessels,marginal softening of 3%; Indian Ocean 1%
