week_end_date,route_code,index_name,value,unit,notes
2026-02-25,C3,C3 (Tubarao-Qingdao),24,USD/ton,+28% YoY; weakening sentiment
2026-02-25,C17,C17 (Saldanha Bay-Qingdao),17,USD/mt,+36% YoY
2026-02-25,P8,Santos-Qingdao,40,USD/ton,assessed mid-week above $40/ton; +22% YoY
2026-02-25,P7,USG-Qingdao grain,,USD/ton,maintained premium of around $50/ton since beginning of February; +19% YoY
2026-02-25,S4A,S4A US Gulf trip Skaw-Passero,26000,USD/day,dropped from prior week above $30k/day; +76% YoY
2026-02-25,HS4_38,Handysize USG trip Skaw-Passero,24000,USD/day,increase of ~$15k/d from mid-January; +128% YoY
2026-02-25,C5,C5 (West Australia-Qingdao),10,USD/ton,+38% YoY; recent low mid-January approx $7.5/ton
2026-02-25,P3A_82,Panamax HK-S Korea incl Taiwan one Pacific RV,19000,USD/day,climbed above $19k/d; about +$7k/day YoY
2026-02-25,S2,Supramax North China Australia/Pacific round voyage,16000,USD/day,spike to approximately $16k/d; +28% monthly increase
2026-02-25,S10,Supramax South China Indonesia round voyage,12000,USD/day,holding steady around $12k/d; monthly gain 47%
2026-02-25,HS5_38,Handysize SE Asia trip Singapore-Japan,10000,USD/day,firmed to approx $10k/d
2026-02-25,HS6_38,Handysize North China-SK-Japan round voyage,10000,USD/day,firmed to approx $10k/d
2026-02-25,HS7_38,Handysize North China-SK-Japan trip SE Asia,9700,USD/day,nearly $9.7k/d
2026-02-25,,BDI,2100,index,stabilizing above the 2,100-point threshold; +100% YoY
2026-02-25,,C5TC,25000,USD/day,"holding below $25k/d; +160% YoY"
2026-02-25,,Tonne-mile index Capesize (Base 100),94.5,index,+4.7 points WoW from 89.8
2026-02-25,,Tonne-mile index Panamax (Base 100),88.1,index,+1.9 points WoW from 86.2
2026-02-25,,Tonne-mile index Supramax (Base 100),96.1,index,-1.8 points WoW from 97.9
2026-02-25,,Tonne-mile index Handymax (Base 100),98.8,index,+4.9 points WoW from 93.9
2026-02-25,,Tonne-mile index Handysize (Base 100),88.0,index,-4.2 points WoW from 92.2
