split,h,model,scope,pinball_0.1,pinball_0.5,pinball_0.9,mae_p50,dir_hit
test,1,ar1,Capesize,0.011695534700411736,0.02127321694312536,0.012933998240656405,0.04254643388625072,0.5277777777777778
test,1,ar1,Handysize,0.0020727699995970097,0.004277801305907812,0.0018242742912821853,0.008555602611815623,0.6082474226804123
test,1,ar1,POOLED,0.005526116656647805,0.010573414982331282,0.005868155405272247,0.021146829964662564,0.5164835164835165
test,1,ar1,Panamax,0.004186967683228949,0.00857463501744179,0.004138506257440686,0.01714927003488358,0.46629213483146065
test,1,ar1,Supramax,0.0025747314650267934,0.005301398539586622,0.0027268493942937083,0.010602797079173243,0.5054945054945055
test,1,rw,Capesize,0.011614234193593385,0.021297689982415397,0.013046605133979379,0.042595379964830794,0.5277777777777778
test,1,rw,Handysize,0.002114930382213066,0.004430781461263919,0.0018205642351447724,0.008861562922527839,0.3917525773195876
test,1,rw,POOLED,0.0054936492592806245,0.010594952486512543,0.0059183481261437226,0.021189904973025087,0.46781789638932497
test,1,rw,Panamax,0.004151157941499536,0.00854786777729091,0.004182508950937293,0.01709573555458182,0.43258426966292135
test,1,rw,Supramax,0.0025540552893041947,0.0052972212690842665,0.002750096198688917,0.010594442538168533,0.4835164835164835
test,1,xgb,Capesize,0.008297894886688325,0.018803813558261804,0.010297662564207187,0.03760762711652361,0.6833333333333333
test,1,xgb,Handysize,0.0010192837238930626,0.0018509136027588713,0.0009391625183742017,0.0037018272055177426,0.9175257731958762
test,1,xgb,POOLED,0.003706130158259408,0.008042574268096164,0.004193676217272837,0.016085148536192327,0.7974882260596546
test,1,xgb,Panamax,0.0029182245521080096,0.00593471077904019,0.0027010813918120786,0.01186942155808038,0.7921348314606742
test,1,xgb,Supramax,0.0013674139544752248,0.002761078187655865,0.001351105696816794,0.00552215637531173,0.8516483516483516
test,7,ar1,Capesize,0.035312521351124795,0.06934544877378432,0.03532889582796431,0.13869089754756864,0.46111111111111114
test,7,ar1,Handysize,0.008432900163074568,0.018470529124989362,0.007710039106677567,0.036941058249978724,0.6185567010309279
test,7,ar1,POOLED,0.019382801699690127,0.03868904892150251,0.018519283462846224,0.07737809784300502,0.4913657770800628
test,7,ar1,Panamax,0.017227957067743993,0.03500846121994334,0.015543283253334086,0.07001692243988668,0.4044943820224719
test,7,ar1,Supramax,0.011571555855074087,0.02274503275517605,0.01056595661735317,0.0454900655103521,0.5384615384615384
test,7,rw,Capesize,0.03384154910778373,0.06816921560649135,0.03756989976978548,0.1363384312129827,0.45
test,7,rw,Handysize,0.00851988789594398,0.019672147297838536,0.007620769984101847,0.03934429459567707,0.38144329896907214
test,7,rw,POOLED,0.018716805405260356,0.03834634037816166,0.019424244574805138,0.07669268075632332,0.4427001569858713
test,7,rw,Panamax,0.016662346239396688,0.03432141367249509,0.016267610544775917,0.06864282734499018,0.43258426966292135
test,7,rw,Supramax,0.011202194765003278,0.02274038511058281,0.0108561124734148,0.04548077022116562,0.47802197802197804
test,7,xgb,Capesize,0.029193890558446563,0.06610965288320465,0.027216490723135634,0.1322193057664093,0.5833333333333334
test,7,xgb,Handysize,0.0056717780037836155,0.011391223764066401,0.00489976856144201,0.022782447528132802,0.845360824742268
test,7,xgb,POOLED,0.01490922950761932,0.03365661193556768,0.014454965623684072,0.06731322387113536,0.6844583987441131
test,7,xgb,Panamax,0.013566901405721827,0.03153883876669778,0.014603370832512886,0.06307767753339556,0.651685393258427
test,7,xgb,Supramax,0.007017626259602357,0.015498144386775407,0.006781138535577861,0.030996288773550814,0.7307692307692307
test,30,ar1,Capesize,0.09009701817451013,0.1566468237726008,0.07440313987366123,0.3132936475452016,0.55
test,30,ar1,Handysize,0.03009350015283676,0.05609038672376193,0.023396669417852917,0.11218077344752386,0.7010309278350515
test,30,ar1,POOLED,0.05250271887069332,0.09465324192118717,0.03768006097300939,0.18930648384237433,0.5384615384615384
test,30,ar1,Panamax,0.04322951975385287,0.0797669653478229,0.023868150215909174,0.1595339306956458,0.42134831460674155
test,30,ar1,Supramax,0.0363343110890596,0.06845274439895993,0.02248146148672747,0.13690548879791986,0.554945054945055
