series_id,rows,first,last
BC_INDEX,3472,2012-07-04,2026-09-02
BD_INDEX,5310,2005-01-04,2026-09-02
BHSI_INDEX,3366,2012-07-04,2026-09-02
BPI_INDEX,3472,2012-07-04,2026-09-02
BSI_INDEX,3472,2012-07-04,2026-09-02
CAPESIZE_TCAVG,287,2020-04-26,2026-09-02
HANDYSIZE_TCAVG,193,2025-11-19,2026-09-02
HB_SUPRAMAX_INDONESIA_ECI_USD_DAY,1,2026-09-03,2026-09-03
PANAMAX_TCAVG,283,2024-03-05,2026-09-02
PW_BALIKPAPAN_ID_CALLS,2797,2019-01-01,2026-08-28
PW_BALIKPAPAN_ID_EXPORT_T,2797,2019-01-01,2026-08-28
PW_BALIKPAPAN_ID_IMPORT_T,2797,2019-01-01,2026-08-28
PW_BEIRA_MZ_CALLS,2797,2019-01-01,2026-08-28
PW_BEIRA_MZ_EXPORT_T,2797,2019-01-01,2026-08-28
PW_BEIRA_MZ_IMPORT_T,2797,2019-01-01,2026-08-28
PW_DHAMRA_CALLS,2797,2019-01-01,2026-08-28
PW_DHAMRA_EXPORT_T,2797,2019-01-01,2026-08-28
PW_DHAMRA_IMPORT_T,2797,2019-01-01,2026-08-28
PW_GOPALPUR_CALLS,2797,2019-01-01,2026-08-28
PW_GOPALPUR_EXPORT_T,2797,2019-01-01,2026-08-28
PW_GOPALPUR_IMPORT_T,2797,2019-01-01,2026-08-28
PW_HALDIA_CALLS,2797,2019-01-01,2026-08-28
PW_HALDIA_EXPORT_T,2797,2019-01-01,2026-08-28
PW_HALDIA_IMPORT_T,2797,2019-01-01,2026-08-28
PW_HAY_POINT_AU_CALLS,2797,2019-01-01,2026-08-28
PW_HAY_POINT_AU_EXPORT_T,2797,2019-01-01,2026-08-28
PW_HAY_POINT_AU_IMPORT_T,2797,2019-01-01,2026-08-28
PW_KOLKATA_CALLS,2797,2019-01-01,2026-08-28
PW_KOLKATA_EXPORT_T,2797,2019-01-01,2026-08-28
PW_KOLKATA_IMPORT_T,2797,2019-01-01,2026-08-28
PW_MAPUTO_MZ_CALLS,2797,2019-01-01,2026-08-28
PW_MAPUTO_MZ_EXPORT_T,2797,2019-01-01,2026-08-28
PW_MAPUTO_MZ_IMPORT_T,2797,2019-01-01,2026-08-28
PW_NACALA_MZ_CALLS,2797,2019-01-01,2026-08-28
PW_NACALA_MZ_EXPORT_T,2797,2019-01-01,2026-08-28
PW_NACALA_MZ_IMPORT_T,2797,2019-01-01,2026-08-28
PW_NEWCASTLE_AU_CALLS,2797,2019-01-01,2026-08-28
PW_NEWCASTLE_AU_EXPORT_T,2797,2019-01-01,2026-08-28
PW_NEWCASTLE_AU_IMPORT_T,2797,2019-01-01,2026-08-28
PW_PARADIP_CALLS,2797,2019-01-01,2026-08-28
PW_PARADIP_EXPORT_T,2797,2019-01-01,2026-08-28
PW_PARADIP_IMPORT_T,2797,2019-01-01,2026-08-28
PW_RICHARDS_BAY_ZA_CALLS,2797,2019-01-01,2026-08-28
PW_RICHARDS_BAY_ZA_EXPORT_T,2797,2019-01-01,2026-08-28
PW_RICHARDS_BAY_ZA_IMPORT_T,2797,2019-01-01,2026-08-28
PW_SAMARINDA_ID_CALLS,2797,2019-01-01,2026-08-28
PW_SAMARINDA_ID_EXPORT_T,2797,2019-01-01,2026-08-28
PW_SAMARINDA_ID_IMPORT_T,2797,2019-01-01,2026-08-28
PW_VISAKHAPATNAM_CALLS,2797,2019-01-01,2026-08-28
PW_VISAKHAPATNAM_EXPORT_T,2797,2019-01-01,2026-08-28
PW_VISAKHAPATNAM_IMPORT_T,2797,2019-01-01,2026-08-28
SG_C17_USD_T,3,2026-02-05,2026-02-25
SG_C3_USD_T,11,2024-11-30,2026-07-17
SG_C5_USD_T,8,2025-12-09,2026-07-17
SG_CAPESIZE_BRAZIL_NORTH_CHINA_USD_T,1,2025-06-14,2025-06-14
SG_HANDYSIZE_NOPAC_FE_USD_T,3,2024-11-30,2025-06-07
SG_HS1_38_USD_DAY,1,2026-07-17,2026-07-17
SG_HS2_38_USD_DAY,1,2026-07-17,2026-07-17
SG_HS3_38_USD_DAY,1,2026-07-17,2026-07-17
SG_HS4_38_USD_DAY,4,2026-02-05,2026-07-17
SG_HS5_38_USD_DAY,2,2026-02-13,2026-02-25
SG_HS6_38_USD_DAY,1,2026-02-25,2026-02-25
SG_HS7_38_USD_DAY,1,2026-02-25,2026-02-25
SG_P1A_82_USD_DAY,2,2026-07-10,2026-07-17
SG_P2A_82_USD_DAY,2,2026-07-10,2026-07-17
SG_P3A_82_USD_DAY,3,2026-02-05,2026-02-25
SG_P5TC_USD_DAY,1,2026-07-10,2026-07-10
SG_P5_82_USD_DAY,2,2026-07-10,2026-07-17
SG_P6_82_USD_DAY,2,2026-07-10,2026-07-17
SG_P8_USD_T,3,2026-02-05,2026-02-25
SG_PANAMAX_CONTINENT_FAR_EAST_USD_T,4,2024-11-30,2025-06-14
SG_S10TC_USD_DAY,1,2026-07-17,2026-07-17
SG_S10_USD_DAY,1,2026-02-25,2026-02-25
SG_S11TC_USD_DAY,1,2026-07-17,2026-07-17
SG_S1C_USD_DAY,1,2026-07-17,2026-07-17
SG_S2_USD_DAY,3,2026-02-05,2026-02-25
SG_S4A_USD_DAY,3,2026-02-05,2026-07-17
SG_SUPRAMAX_INDONESIA_ECI_USD_T,3,2024-11-30,2025-06-07
SG_SUPRAMAX_USG_FAR_EAST_USD_T,1,2025-06-14,2025-06-14
SUPRAMAX_TCAVG,193,2025-11-19,2026-09-02
